organisation_id,organisation_nom,organisation_slug,nb_jeux_catalogue,etat
bfa172d4-b43e-4549-b573-9482054dafa0,Ministère de la Culture et des Communications,mcc,17,active
3ddeaf63-a0e9-4f46-8bfc-e789e14042e1,Ministère de la Cybersécurité et du Numérique,mcn,6,active
181a210b-d36a-4e63-95c2-dd8685d7cd32,Ministère de la Famille,ministere-de-la-famille,2,active
bded9630-4d67-4176-9192-8598ac6cc992,Ministère de la Justice,mjq,1,active
0941b44f-88b2-4b11-93fa-32b0d53c0aa0,Ministère de la Santé et des services sociaux,msss,34,active
0bf65c08-1d72-4352-a95c-a677070d4d73,Ministère de la Sécurité intérieure,msp,25,active
b65dd6f6-8f31-402e-a8e1-8fa4a575065e,"Ministère de l’Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",developpement-durable-environnement-et-lutte-contre-les-changements-climatiques,126,active
7e899dd4-dafe-4e73-8f92-d5822bcae8ef,"Ministère de l’Immigration, de la Francisation et de l’Intégration",mifi,18,active
d743972b-a0e1-4ef7-8f29-4f905e9480a3,Ministère des Affaires municipales et de l'Habitation,affaires-municipales-et-occupation-du-territoire,9,active
17272a8d-c6a0-479e-a10e-01ba602f3d98,Ministère des Finances du Québec,mfq,12,active
beb6e8e8-d28b-474c-82b7-20fcee16a567,Ministère des Relations internationales et de la Francophonie,mrif,2,active
95c1ba5b-25ec-405d-8647-3a975d4ac992,Ministère des Ressources naturelles et des Forêts,mrn,121,active
fb1886c9-2993-46e0-9a10-f9b938a7826f,Ministère des Transports et de la Mobilité durable,mtq,31,active
ef9ba9bb-3cff-4880-b0a0-8156e86388c2,Ministère du Conseil exécutif,ministere-du-conseil-executif,2,active
fcd7c80e-8401-4b7b-b82c-dadda85fbe03,Ministère du Tourisme,tourisme,18,active
7ea52ce6-384c-4b49-9004-dc666269c4fe,Ministère du Travail,mtrav,4,active
d378eb79-07e6-49be-a6dd-cf013a5d4a20,Musée d'art contemporain de Montréal,macm,3,active
96b6559c-0edd-41d2-b6ad-7df50d83aff4,Musée d'art contemporain des Laurentides (MAC LAU),musee-d-art-contemporain-des-laurentides-mac-lau,1,active
0b9be1a5-3127-4460-b753-7bd8057d70aa,Musée d'art de Joliette,musee-d-art-de-joliette,1,active
