municipality_code,municipality,municipality_type,region,residential_consumption_l_person_day,population_served,population_served_thousands,residences_served,persons_per_residence,distributed_water_l_person_day
57030,Otterburn Park,City,Montérégie,228,8559,8.559,3403,2.5151,251
71070,Pincourt,City,Montérégie,192,15095,15.095,5847,2.581665,311
71055,Pointe-Des-Cascades,Village,Montérégie,275,1830,1.83,777,2.35521,350
55057,Richelieu,City,Montérégie,119,5191,5.191,2271,2.28571429,400
71133,Rigaud,City,Montérégie,220,4598,4.598,1869,2.4601,292
55037,Rougemont,Municipality,Montérégie,206,2530,2.53,1063,2.38,1294
56055,Saint-Alexandre,Municipality,Montérégie,164,1780,1.78,668,2.665,181
59015,Saint-Amable,City,Montérégie,204,13796,13.796,5445,2.5337,252
57075,Saint-Antoine-Sur-Richelieu,Municipality,Montérégie,192,1800,1.8,777,2.316,530
54105,Saint-Barnabé-Sud,Municipality,Montérégie,163,870,0.87,298,2.92022792,508
57020,Saint-Basile-Le-Grand,City,Montérégie,250,17026,17.026,6846,2.48699,331
54115,Saint-Bernard-De-Michaudville,Municipality,Montérégie,193,633,0.633,238,2.66,758
58037,Saint-Bruno-De-Montarville,City,Montérégie,183,26481,26.481,10954,2.41747573,459
57057,Saint-Charles-Sur-Richelieu,Municipality,Montérégie,192,1781,1.781,869,2.05,530
69017,Saint-Chrysostome,Municipality,Montérégie,181,1349,1.349,562,2.4,301
71045,Saint-Clet,Municipality,Montérégie,214,1640,1.64,716,2.29062087,416
68035,Saint-Cyprien-De-Napierville,Municipality,Montérégie,201,517,0.517,205,2.52080537,257
55023,Saint-Césaire,City,Montérégie,172,5090,5.09,2589,1.966,455
54017,Saint-Damase (16),Municipality,Montérégie,167,2570,2.57,1100,2.3359999,1792
53005,Saint-David,Municipality,Montérégie,184,913,0.913,402,2.27,550
57068,Saint-Denis-Sur-Richelieu,Municipality,Montérégie,202,2182,2.182,917,2.38,530
54060,Saint-Dominique,Municipality,Montérégie,196,2344,2.344,843,2.78,279
54100,Saint-Hugues,Municipality,Montérégie,176,946,0.946,374,2.53,312
54048,Saint-Hyacinthe,City,Montérégie,203,59021,59.021,28893,2.0427462,500
67040,Saint-Isidore (16),Parish,Montérégie,158,2135,2.135,782,2.73,239
68040,Saint-Jacques-Le-Mineur,Municipality,Montérégie,175,1003,1.003,438,2.29097387,211
56083,Saint-Jean-Sur-Richelieu,City,Montérégie,267,98170,98.17,45411,2.16180868,402
54110,Saint-Jude,Municipality,Montérégie,428,1338,1.338,573,2.33448276,667
58012,Saint-Lambert (16),City,Montérégie,437,23190,23.19,11540,2.00949914,547
71105,Saint-Lazare,City,Montérégie,203,22336,22.336,7840,2.84904243,289
54072,Saint-Liboire,Municipality,Montérégie,149,2105,2.105,716,2.94,174
57050,Saint-Marc-Sur-Richelieu,Municipality,Montérégie,192,2244,2.244,949,2.365,530
55065,Saint-Mathias-Sur-Richelieu,Municipality,Montérégie,228,4149,4.149,1825,2.27353376,277
67005,Saint-Mathieu,Municipality,Montérégie,277,2021,2.021,815,2.48020305,306
55015,Saint-Paul-D'abbotsford,Municipality,Montérégie,133,759,0.759,273,2.78,202
67010,Saint-Philippe,City,Montérégie,181,7891,7.891,2740,2.8799,244
54008,Saint-Pie,City,Montérégie,191,4145,4.145,1613,2.57,314
71020,Saint-Polycarpe,Municipality,Montérégie,169,2675,2.675,1037,2.58,236
53020,Saint-Robert,Municipality,Montérégie,148,1863,1.863,817,2.28029376,377
53040,Saint-Roch-De-Richelieu,Municipality,Montérégie,214,2798,2.798,1256,2.22770701,289
68055,Saint-Rémi,City,Montérégie,213,9095,9.095,3609,2.52,306
54090,Saint-Simon (16),Municipality,Montérégie,152,809,0.809,256,3.16,374
71025,Saint-Zotique,City,Montérégie,207,10137,10.137,4209,2.40832158,270
55030,Sainte-Angèle-De-Monnoir,Municipality,Montérégie,138,1371,1.371,445,3.08,212
53065,Sainte-Anne-De-Sorel,Municipality,Montérégie,232,2792,2.792,1362,2.05,392
69065,Sainte-Barbe,Municipality,Montérégie,189,1690,1.69,719,2.35,250
56105,Sainte-Brigide-D'iberville,Municipality,Montérégie,162,840,0.84,309,2.72,233
67030,Sainte-Catherine,City,Montérégie,213,17577,17.577,7375,2.38327007,383
54095,Sainte-Hélène-De-Bagot,Municipality,Montérégie,90,1049,1.049,433,2.42318059,368
59010,Sainte-Julie,City,Montérégie,276,30671,30.671,12849,2.38701829,356
54025,Sainte-Madeleine,Village,Montérégie,219,2187,2.187,958,2.28313253,311
70012,Sainte-Martine,Municipality,Montérégie,320,3742,3.742,1627,2.3,648
70052,Salaberry-De-Valleyfield,City,Montérégie,186,45124,45.124,22450,2.00996843,826
53052,Sorel-Tracy,City,Montérégie,251,36093,36.093,19388,1.86161543,557
71075,Terrasse-Vaudreuil,Municipality,Montérégie,154,1920,1.92,845,2.27208481,262
48038,Upton,Municipality,Montérégie,310,1676,1.676,582,2.88,697
59020,Varennes,City,Montérégie,173,21428,21.428,8818,2.43,549
71083,Vaudreuil-Dorion,City,Montérégie,204,42273,42.273,16423,2.57401169,356
71090,Vaudreuil-Sur-Le-Lac,Village,Montérégie,213,1363,1.363,517,2.63636364,341
56005,Venise-En-Québec,Municipality,Montérégie,134,1880,1.88,1114,1.68716372,443
59025,Verchères,Municipality,Montérégie,205,5482,5.482,2353,2.32997176,343
53072,Yamaska,Municipality,Montérégie,350,1624,1.624,899,1.80661841,463
99020,Chapais,City,Nord-du-Québec,459,1432,1.432,746,1.9197861,2671
99025,Chibougamau,City,Nord-du-Québec,316,7139,7.139,3526,2.02461283,1115
99005,Lebel-Sur-Quévillon,City,Nord-du-Québec,251,2153,2.153,1198,1.79716194,386
99015,Matagami,City,Nord-du-Québec,266,1340,1.34,815,1.64417178,331
84030,Campbell's Bay,Municipality,Outaouais,268,985,0.985,419,2.35,326
82025,Chelsea,Municipality,Outaouais,358,1278,1.278,543,2.35333333,601
80103,Chénéville,Municipality,Outaouais,272,632,0.632,336,1.88,476
80005,Fassett,Municipality,Outaouais,145,772,0.772,394,1.96,190
84060,Fort-Coulonge,Village,Outaouais,187,1417,1.417,734,1.93055556,255
81017,Gatineau,City,Outaouais,219,294299,294.299,131341,2.240725,350
83032,Gracefield,City,Outaouais,171,684,0.684,318,2.15,494
83065,Maniwaki,City,Outaouais,219,4176,4.176,2312,1.80620525,430
80010,Montebello,Municipality,Outaouais,425,958,0.958,543,1.76416819,886
84055,Otter Lake,Municipality,Outaouais,187,751,0.751,243,3.09,249
80037,Papineauville,Municipality,Outaouais,200,2518,2.518,1079,2.33364226,317
80078,Ripon,Municipality,Outaouais,289,539,0.539,323,1.66855524,359
80027,Saint-André-Avellin,Municipality,Outaouais,159,2649,2.649,1113,2.38,403
80050,Thurso,City,Outaouais,201,3332,3.332,1666,2,392
92030,Albanel,Municipality,Saguenay–Lac-Saint-Jean,265,1367,1.367,516,2.65,424
93042,Alma,City,Saguenay–Lac-Saint-Jean,183,30649,30.649,15131,2.02557663,364
94250,Bégin,Municipality,Saguenay–Lac-Saint-Jean,200,694,0.694,356,1.95,278
91020,Chambord,Municipality,Saguenay–Lac-Saint-Jean,310,978,0.978,680,1.43884892,768
93005,Desbiens,City,Saguenay–Lac-Saint-Jean,266,967,0.967,520,1.8597786,321
92022,Dolbeau-Mistassini,City,Saguenay–Lac-Saint-Jean,183,13616,13.616,5869,2.32,463
92055,Girardville,Municipality,Saguenay–Lac-Saint-Jean,274,916,0.916,571,1.60436137,314
93020,Hébertville,Municipality,Saguenay–Lac-Saint-Jean,263,2492,2.492,1246,2,438
93025,Hébertville-Station,Village,Saguenay–Lac-Saint-Jean,385,1027,1.027,488,2.105,645
94210,L'anse-Saint-Jean,Municipality,Saguenay–Lac-Saint-Jean,280,918,0.918,510,1.8,764
93065,L'ascension-De-Notre-Seigneur,Parish,Saguenay–Lac-Saint-Jean,211,2196,2.196,1152,1.906,326
91050,La Doré,Parish,Saguenay–Lac-Saint-Jean,189,1138,1.138,569,2,453
93055,Labrecque,Municipality,Saguenay–Lac-Saint-Jean,177,1210,1.21,504,2.4,422
91005,Lac-Bouchette,Municipality,Saguenay–Lac-Saint-Jean,232,977,0.977,444,2.2,369
94265,Larouche,Municipality,Saguenay–Lac-Saint-Jean,197,1189,1.189,504,2.36,264
93012,Métabetchouan-Lac-À-La-Croix,City,Saguenay–Lac-Saint-Jean,438,3239,3.239,1707,1.89750567,653
92040,Normandin,City,Saguenay–Lac-Saint-Jean,160,3027,3.027,1321,2.2914,432
91025,Roberval,City,Saguenay–Lac-Saint-Jean,238,9496,9.496,4678,2.03,492
94068,Saguenay,City,Saguenay–Lac-Saint-Jean,235,142505,142.505,70396,2.02433785,494
93030,Saint-Bruno,Municipality,Saguenay–Lac-Saint-Jean,290,2879,2.879,1269,2.26865672,557
94260,Saint-Charles-De-Bourget,Municipality,Saguenay–Lac-Saint-Jean,270,767,0.767,415,1.84862385,536
94245,Saint-David-De-Falardeau,Municipality,Saguenay–Lac-Saint-Jean,207,2488,2.488,1077,2.31,615
91015,Saint-François-De-Sales,Municipality,Saguenay–Lac-Saint-Jean,222,547,0.547,239,2.29,863
94235,Saint-Fulgence,Municipality,Saguenay–Lac-Saint-Jean,230,1711,1.711,719,2.38,438
91042,Saint-Félicien,City,Saguenay–Lac-Saint-Jean,220,10133,10.133,4648,2.18,361
93035,Saint-Gédéon,Municipality,Saguenay–Lac-Saint-Jean,509,2108,2.108,1054,2,650
93070,Saint-Henri-De-Taillon,Municipality,Saguenay–Lac-Saint-Jean,187,940,0.94,400,2.35,446
94240,Saint-Honoré,City,Saguenay–Lac-Saint-Jean,196,6321,6.321,2612,2.42,401
93045,Saint-Nazaire,Municipality,Saguenay–Lac-Saint-Jean,206,1770,1.77,686,2.58,301
91030,Sainte-Hedwidge,Municipality,Saguenay–Lac-Saint-Jean,205,602,0.602,254,2.37,228
92015,Sainte-Jeanne-D'arc (02),Village,Saguenay–Lac-Saint-Jean,287,607,0.607,334,1.81639344,400
93075,Sainte-Monique (02),Municipality,Saguenay–Lac-Saint-Jean,317,625,0.625,390,1.60261194,577
