nature,categorie,arrondissement,statut,date_creation
Information,Danger potentiel - Arbre,Non assigné,Sans statut,2024-07-18
Information,Opération déneigement,Non assigné,Sans statut,2022-12-24
Information,Manque d'eau,Non assigné,Sans statut,2022-12-24
Information,Feux de circulation - Entretien,Non assigné,Sans statut,2022-12-24
Information,Refoulement égout / Inondation Propriété privée,Non assigné,Sans statut,2022-11-26
Information,Taxes foncières,Non assigné,Sans statut,2022-11-27
Information,Conseil d'arrondissement,Non assigné,Sans statut,2023-01-08
Information,Taxes foncières,Non assigné,Sans statut,2023-01-08
Information,Opération déneigement,Non assigné,Sans statut,2023-01-08
Information,Collecte d'arbres de Noël,Non assigné,Sans statut,2023-01-08
Information,Collecte d'arbres de Noël,Non assigné,Sans statut,2023-01-08
Information,Info-Remorquage,Non assigné,Sans statut,2024-09-22
Information,Collecte de déchets,Non assigné,Sans statut,2024-09-22
Information,Info-Remorquage,Non assigné,Sans statut,2024-09-22
Information,Gouvernement du Québec,Non assigné,Sans statut,2024-09-22
Information,Intervention stationnement,Non assigné,Sans statut,2022-11-13
Information,Info-Remorquage,Non assigné,Sans statut,2022-12-12
Information,IRP - Demande onde radio,Non assigné,Sans statut,2022-12-12
Information,Collecte des encombrants,Non assigné,Sans statut,2022-12-12
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-12-12
Information,Collecte des encombrants,Non assigné,Sans statut,2022-12-12
Information,Permis - Divers,Non assigné,Sans statut,2022-12-12
Information,Permis de construction - rénovation,Non assigné,Sans statut,2022-12-12
Information,Collecte des encombrants,Non assigné,Sans statut,2022-12-12
Information,Collecte des encombrants,Non assigné,Sans statut,2022-11-07
Information,Collecte des encombrants,Non assigné,Sans statut,2022-07-11
Information,Taxes foncières,Non assigné,Sans statut,2022-06-19
Information,Collecte de déchets,Non assigné,Sans statut,2022-06-19
Information,Écocentre,Non assigné,Sans statut,2022-06-19
Information,Bruit,Non assigné,Sans statut,2022-06-19
Information,Collecte des encombrants,Non assigné,Sans statut,2022-06-19
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-06-19
Information,Animaux sauvages - Nuisance,Non assigné,Sans statut,2022-06-19
Information,Maladie ou insectes - Arbre,Non assigné,Sans statut,2022-12-24
Information,Puisard/TH-Première intervention,Non assigné,Sans statut,2022-12-24
Information,Manque d'eau,Non assigné,Sans statut,2022-12-24
Information,Collecte de déchets,Non assigné,Sans statut,2022-06-20
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-06-21
Information,Assermentation,Non assigné,Sans statut,2025-03-10
Information,Organisme divers,Non assigné,Sans statut,2025-03-10
Information,Intervention stationnement,Non assigné,Sans statut,2024-11-02
Information,Manque d'eau,Non assigné,Sans statut,2023-02-26
Information,IRP - Police,Non assigné,Sans statut,2022-03-29
Information,Taxes foncières,Non assigné,Sans statut,2024-09-17
Information,Occupation du domaine public,Non assigné,Sans statut,2022-12-12
Information,Branche tombée,Non assigné,Sans statut,2023-12-05
Information,Info-Remorquage,Non assigné,Sans statut,2023-12-05
Information,Info-Remorquage,Non assigné,Sans statut,2023-12-05
Information,Info-Remorquage,Non assigné,Sans statut,2023-12-05
Information,Info-Remorquage,Non assigné,Sans statut,2023-12-05
Information,Info-Remorquage,Non assigné,Sans statut,2023-12-05
Information,Info-Remorquage,Non assigné,Sans statut,2023-12-05
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-12-12
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-12-12
Information,Direction d'arrondissement,Non assigné,Sans statut,2022-12-12
Information,Gouvernement du Québec,Non assigné,Sans statut,2022-12-12
Information,Collecte de déchets,Non assigné,Sans statut,2022-12-12
Information,Taxes foncières,Non assigné,Sans statut,2022-12-12
Information,Communauté métropolitaine de Montréal,Non assigné,Sans statut,2022-12-12
Information,Intervention stationnement,Non assigné,Sans statut,2024-04-28
Information,Organisme divers,Non assigné,Sans statut,2024-04-28
Information,Taxes foncières,Non assigné,Sans statut,2026-02-02
Information,Taxes foncières,Non assigné,Sans statut,2024-02-11
Information,Occupation du domaine public,Non assigné,Sans statut,2024-02-11
Information,Permis - Divers,Non assigné,Sans statut,2022-12-12
Information,Taxes foncières,Non assigné,Sans statut,2022-12-12
Information,Collecte de déchets,Non assigné,Sans statut,2022-12-23
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-10-09
Information,Collecte de déchets,Non assigné,Sans statut,2022-10-09
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-10-09
