date,path,title,sessions,pageviews,duree_moyenne_session_secondes
2023-06-21,/dataset/hydrographie,Hydrographie - Site web des données ouvertes de la Ville de Montréal,2,3,12
2023-06-21,/dataset/ilots-de-chaleur,Îlots de chaleur - Site web des données ouvertes de la Ville de Montréal,23,29,48.21739130434783
2023-06-21,/dataset/indice-equite-milieux-vie,Indice d'équité des milieux de vie - Site web des données ouvertes de la Ville de Montréal,37,66,199.40540540540545
2023-06-21,/dataset/indice-equite-milieux-vie/resource/5ca26973-7df6-472e-9bc0-5213a2445082,Indice d'équité des milieux de vie - Indice d'équité des milieux de vie - Site web des données ouvertes de la Ville de Montréal,1,12,1
2023-06-21,/dataset/indice-equite-milieux-vie/resource/cf0dbcaf-4734-4551-81e2-6b8a7813ca41,Indice d'équité des milieux de vie - Dictionnaire de données - Site web des données ouvertes de la Ville de Montréal,1,5,1
2023-06-21,/dataset/info-collectes,Secteurs Info-collectes - Site web des données ouvertes de la Ville de Montréal,3,3,7
2023-06-21,/dataset/inspection-aliments-contrevenants,Inspections des aliments et contrevenants - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/inspections-salubrite,Inspections de salubrité du Service de l'habitation - Site web des données ouvertes de la Ville de Montréal,7,14,852
2023-06-21,/dataset/installations-recreatives-sportives-et-culturelles,"Installations récréatives, sportives et culturelles extérieures - Site web des données ouvertes de la Ville de Montréal",2,2,284
2023-06-21,/dataset/interventions-service-securite-incendie-montreal,Interventions des pompiers de Montréal - Site web des données ouvertes de la Ville de Montréal,4,6,5
2023-06-21,/dataset/inventaire-donnees-ouvertes,Inventaire de données - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/lidar-aerien-2015,LiDAR aérien 2015 - Site web des données ouvertes de la Ville de Montréal,7,7,2.857142857142857
2023-06-21,/dataset/lidar-aerien-2015/resource/a2bc4ed1-3850-4bdf-b15c-6318dc7b305f,LiDAR aérien 2015 - Carte interactive de téléchargment du LiDAR aérien - Site web des données ouvertes de la Ville de Montréal,6,8,0
2023-06-21,/dataset/lieux-batiments-vocation-publique,Lieux et bâtiments à vocation publique - Site web des données ouvertes de la Ville de Montréal,2,6,8.5
2023-06-21,/dataset/lieux-d-interet,Lieux d'intérêt - Site web des données ouvertes de la Ville de Montréal,1,3,143
2023-06-21,/dataset/limites-pdq-spvm,Limite des secteurs de poste de quartier de police - Site web des données ouvertes de la Ville de Montréal,2,5,32.5
2023-06-21,/dataset/limites-terrestres,Limites terrestres de l'île de Montréal - Site web des données ouvertes de la Ville de Montréal,1,1,35
2023-06-21,/dataset/liste-central-condamnations-salubrite-logements,"Contrevenants condamnés - salubrité, entretien et sécurité des logements - Site web des données ouvertes de la Ville de Montréal",7,16,216.1428571428571
2023-06-21,/dataset/liste-des-fournisseurs,Liste des fournisseurs - Site web des données ouvertes de la Ville de Montréal,9,11,157.77777777777777
2023-06-21,/dataset/liste-des-fournisseurs/resource/26fdb34f-0f1c-4f28-8c7d-c92bf5b40df5,Liste des fournisseurs - Visualisation des données - Site web des données ouvertes de la Ville de Montréal,1,3,9
2023-06-21,/dataset/liste-des-terrains-contamines,Liste des terrains contaminés - Site web des données ouvertes de la Ville de Montréal,1,2,0
2023-06-21,/dataset/listes-des-elus-de-la-ville-de-montreal,Liste des élus de la Ville de Montréal - Site web des données ouvertes de la Ville de Montréal,1,1,17
2023-06-21,/dataset/locaux-commerciaux,Locaux commerciaux et statuts d'occupation - Site web des données ouvertes de la Ville de Montréal,4,5,0
2023-06-21,/dataset/locaux-commerciaux/resource/7b4de481-7be3-4123-a86e-bf328e16a564,Locaux commerciaux et statuts d'occupation - Visualisation des données - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/logements-sociaux,Logements sociaux et communautaires dans l'agglomération de Montréal - Site web des données ouvertes de la Ville de Montréal,4,4,11.75
2023-06-21,/dataset/maquette-numerique-plateau-mont-royal-batiments-lod2-avec-textures,Bâtiment 3D 2013 (Maquette CityGML LOD2 avec textures) - Site web des données ouvertes de la Ville de Montréal,3,4,0
2023-06-21,/dataset/matieres-residuelles-bilan-massique,Matières résiduelles - bilan massique - Site web des données ouvertes de la Ville de Montréal,2,2,40
2023-06-21,/dataset/milieux-humides,Milieux humides - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/modele-numerique-de-terrain-mnt,Modèle numérique de terrain - Site web des données ouvertes de la Ville de Montréal,3,6,725.3333333333334
2023-06-21,/dataset/mtl-trajet,Déplacements MTL Trajet - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/murales,Murales subventionnées - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/offres-demploi-et-postulation,Offres d'emploi et postulation - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/panneaux-de-signalisation,Signalisation routière (excluant le stationnement) - Site web des données ouvertes de la Ville de Montréal,1,3,0
2023-06-21,/dataset/permis-construction,"Permis de construction, transformation et démolition - Site web des données ouvertes de la Ville de Montréal",13,15,52.23076923076923
2023-06-21,/dataset/permis-et-autorisations-de-tournage,Permis et autorisations de tournage - Site web des données ouvertes de la Ville de Montréal,1,1,375
2023-06-21,/dataset/phototheque,Photographies aériennes - Photothèque - Site web des données ouvertes de la Ville de Montréal,6,8,18.166666666666668
2023-06-21,/dataset/phototheque-archives,Archives photographiques (sélection) - Site web des données ouvertes de la Ville de Montréal,1,4,0
2023-06-21,/dataset/phototheque/resource/a3c86d9c-6143-4ad6-a8af-7d7f178a4685,Photographies aériennes - Photothèque - Carte interactive de téléchargement des photographies aériennes - Site web des données ouvertes de la Ville de Montréal,1,3,6
2023-06-21,/dataset/phototheque/resource/a3c86d9c-6143-4ad6-a8af-7d7f178a4685/view/feac24ec-e0d3-45e5-b3ea-bc44e7f0874f,Site web des données ouvertes de la Ville de Montréal,2,4,0
2023-06-21,/dataset/pistes-cyclables,Réseau cyclable - Site web des données ouvertes de la Ville de Montréal,4,7,72.75
2023-06-21,/dataset/plan-urbanisme-densite,Plan d'urbanisme - Densité de construction - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/plans-detailles-d-occupation-du-sol-de-la-ville-de-montreal-1949,"Plans détaillés d'occupation du sol de la Ville de Montréal, 1949 - Site web des données ouvertes de la Ville de Montréal",1,1,139
2023-06-21,/dataset/polygones-arrondissements,DÉSUET: Limite administrative de l'agglomération de Montréal (Arrondissements et Villes liées) - Site web des données ouvertes de la Ville de Montréal,2,7,0
2023-06-21,/dataset/postes-attente-taxi,Postes d'attente de taxi - Site web des données ouvertes de la Ville de Montréal,3,3,0
2023-06-21,/dataset/presence-des-elus-au-conseil-municipal,Erreur - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/programmes-subventions-destines-population,Programmes et subventions destinés à la population et aux organismes - Site web des données ouvertes de la Ville de Montréal,1,2,24
2023-06-21,/dataset/quadrillage-sqrc,Quadrillage SQRC - Site web des données ouvertes de la Ville de Montréal,1,3,60
2023-06-21,/dataset/quartiers,Quartiers de référence en habitation - Site web des données ouvertes de la Ville de Montréal,2,3,203.5
2023-06-21,/dataset/registres-de-plans-des-proprietes-de-la-ville-de-montreal-1900-2000,Registre de plans des propriétés de la Ville de Montréal 1900-2000 - Site web des données ouvertes de la Ville de Montréal,4,7,150.75
2023-06-21,/dataset/remboursement-des-frais-de-recherches-et-de-soutien,Remboursement des frais de recherches et de soutien - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/requete-311,Demandes de services citoyennes (Requêtes 311) - Site web des données ouvertes de la Ville de Montréal,6,10,120.83333333333331
2023-06-21,/dataset/rsma-donnees-ruisso-annuelle,Qualité bactériologique et physicochimique des ruisseaux et plans d’eau intérieurs (RUISSO) du réseau de suivi du milieu aquatique (RSMA) - Site web des données ouvertes de la Ville de Montréal,1,1,36
2023-06-21,/dataset/rsma-qualite-de-l-eau-en-rive-qualo,Qualité de l’eau en rive (QUALO) du réseau de suivi du milieu aquatique (RSMA) - Site web des données ouvertes de la Ville de Montréal,8,15,171.375
2023-06-21,/dataset/rsqa-bilans-annuels-qualite-air,RSQA - Bilans annuels de la qualité de l'air - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/rsqa-indice-qualite-air,RSQA - indice de la qualité de l'air temps réel (quotidien) - Site web des données ouvertes de la Ville de Montréal,17,21,129.2941176470588
2023-06-21,/dataset/rsqa-indice-qualite-air/resource/0ccc6f16-24ef-43ee-b8d3-db34e06e45c2,RSQA - indice de la qualité de l'air temps réel (quotidien) - Visualisation des données - Site web des données ouvertes de la Ville de Montréal,5,16,1.2
2023-06-21,/dataset/rsqa-iqa-historique,RSQA - indice de la qualité de l'air (historique) - Site web des données ouvertes de la Ville de Montréal,5,7,25
2023-06-21,/dataset/rsqa-liste-des-stations,RSQA - liste des stations - Site web des données ouvertes de la Ville de Montréal,8,11,0
2023-06-21,/dataset/rsqa-secteurs-geographiques,RSQA - Secteurs géographiques - Site web des données ouvertes de la Ville de Montréal,1,3,0
2023-06-21,/dataset/ruelles-vertes,Ruelles vertes - Jeu de données - Site web des données ouvertes de la Ville de Montréal,1,1,14
2023-06-21,/dataset/rui,Zone de revitalisation urbaine intégrée (RUI) - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/signalements-de-coyotes,Signalements de coyotes - Site web des données ouvertes de la Ville de Montréal,1,2,560
2023-06-21,/dataset/sondage-inclusion-personnes-immigrantes,Sondage Écho sur l'inclusion des personnes immigrantes - Site web des données ouvertes de la Ville de Montréal,1,2,229
2023-06-21,/dataset/sondage-satisfaction-citoyens,Sondage de satisfaction auprès des citoyens à l'égard des services de la Ville de Montréal - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/dataset/stationnement-sur-rue-signalisation-courant,Signalisation (stationnement sur rue) - Site web des données ouvertes de la Ville de Montréal,13,18,28.076923076923077
2023-06-21,/dataset/stm-bus-temps-reel-gtfs-realtime,Horaires et positionnement des bus en temps réel (GTFS-realtime) - Site web des données ouvertes de la Ville de Montréal,1,1,367
2023-06-21,/dataset/unites-evaluation-fonciere,Unités d'évaluation foncière - Site web des données ouvertes de la Ville de Montréal,2,3,28
2023-06-21,/dataset/unites-evaluation-fonciere/resource/2b9dfc3d-91d3-48de-b32c-a2a6d9417079,Unités d'évaluation foncière - Liste des unités d'évaluation foncière - Site web des données ouvertes de la Ville de Montréal,1,1,3
2023-06-21,/dataset/vehicules-appartenant-a-la-ville-de-montreal,Véhicules appartenant à la Ville de Montréal ou en location long terme - Site web des données ouvertes de la Ville de Montréal,1,1,64
2023-06-21,/dataset/velos-comptage,Comptages des vélos sur les pistes cyclables - Site web des données ouvertes de la Ville de Montréal,15,23,28.666666666666668
2023-06-21,/dataset/velos-comptage/resource/65a37da8-a7cf-4812-a3b5-5edff31c45f6,"Comptages des vélos sur les pistes cyclables - Vélos - comptage sur les pistes cyclables, 2023 - Site web des données ouvertes de la Ville de Montréal",4,8,21
2023-06-21,/dataset/velos-comptage/resource/c7d0546a-a218-479e-bc9f-ce8f13ca972c/view/3c50568e-2158-4396-9721-3922ba11b8f7,Site web des données ouvertes de la Ville de Montréal,1,5,0
2023-06-21,/dataset/vignettes-stationnement,Vignettes de stationnement - Site web des données ouvertes de la Ville de Montréal,1,3,398
2023-06-21,/dataset/vues-aeriennes-archives,"Vues aériennes de l’île de Montréal, 1947-1949 - Site web des données ouvertes de la Ville de Montréal",1,5,39
2023-06-21,/dataset/vues-aeriennes-de-l-ile-de-montreal-1925-1935,"Vues aériennes de l’île de Montréal, 1925-1935 - Site web des données ouvertes de la Ville de Montréal",3,8,444
2023-06-21,/dataset/vues-aeriennes-de-montreal-1958-1975,Vues aériennes verticales de l'île de Montréal. 1958-1975. - Site web des données ouvertes de la Ville de Montréal,5,9,58
2023-06-21,/dataset/vues-aeriennes-obliques-de-l-ile-de-montreal-1960-1992,"Vues aériennes obliques de l’île de Montréal, 1960-1992 - Site web des données ouvertes de la Ville de Montréal",3,6,15.333333333333334
2023-06-21,/dataset/vulnerabilite-changements-climatiques,Vulnérabilité aux changements climatiques - Site web des données ouvertes de la Ville de Montréal,1,2,145
2023-06-21,/group/economie-entreprises,Économie et entreprises - Catégories - Site web des données ouvertes de la Ville de Montréal,1,2,0
2023-06-21,/organization/agence-de-mobilite-durable,Site web des données ouvertes de la Ville de Montréal,3,5,440.3333333333333
2023-06-21,/showcase/park-info,Site web des données ouvertes de la Ville de Montréal,2,3,544
2023-06-21,/showcase/streats,Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/societe-de-transport-de-montreal/incidents-du-reseau-du-metro,Erreur - Site web des données ouvertes de la Ville de Montréal,1,1,0
2023-06-21,/ville-de-montreal/,Erreur - Site web des données ouvertes de la Ville de Montréal,1,1,35
2023-06-21,/ville-de-montreal/locaux-commerciaux,Locaux commerciaux et statuts d'occupation - Jeu de données,1,1,0
