annee,question,reponse,nb_reponses,pourcentage
2023,11,Étudiant,30,11.4
2023,11,Journaliste,1,0.1
2023,11,Développeur d’applications,8,3
2023,11,Chercheur,17,6.4
2023,11,Entrepreneur ou employé dans une entreprise privée,40,15.2
2023,11,"Représentant d’une association, d’un organisme sans but lucratif ou d’une collectivité",20,7.6
2023,11,Employé d’un ministère ou d’un organisme du gouvernement du Québec,52,19.7
2023,11,Employé d’une municipalité,13,4.9
2023,11,Intérêt personnel,64,24.2
2023,11,Autre,19,7.2
2024,3,Consulter les jeux de données les plus récents,144,32.3
2024,3,Télécharger des jeux de données que je n’avais pas,99,22.2
2024,3,Obtenir les plus récentes mises à jour des jeux de données que j’utilisais déjà (incluant par API),62,13.8
2024,3,Faire des demandes de jeux de données ou communiquer avec l’équipe du portail,19,4.3
2024,3,Découvrir les applications développées avec les données,32,7.2
2024,3,Lire les articles de la section Quoi de neuf?,20,4.5
2024,3,"En apprendre plus sur les données ouvertes (licence d’utilisation, normes de diffusion)",47,10.5
2024,3,Autre,23,5.2
2024,6,Développement d’applications et de solutions qui ont généré des revenus,9,3.4
2024,6,Développement d’applications et de solutions à d’autres fins,20,7.7
2024,6,Recherche étudiante,21,8.1
2024,6,Recherche scientifique professionnelle,25,9.7
2024,6,Utilisation journalistique,3,1.2
2024,6,Autre utilisation professionnelle,63,24.3
2024,6,Utilisation personnelle,48,18.5
2024,6,Je n’ai pas utilisé les données téléchargées,35,13.5
2024,6,Ne s'applique pas,33,12.7
2024,6,Autre,2,0.8
2024,11,Étudiant,27,10.4
2024,11,Journaliste,3,1.2
2024,11,Développeur d’applications,11,4.2
2024,11,Chercheur,18,6.9
2024,11,Entrepreneur ou employé dans une entreprise privée,33,12.7
2024,11,"Représentant d’une association, d’un organisme sans but lucratif ou d’une collectivité",14,5.4
2024,11,Employé d’un ministère ou d’un organisme du gouvernement du Québec,45,17.3
2024,11,Employé d’une municipalité,17,6.5
2024,11,Intérêt personnel,83,31.9
2024,11,Autre,9,3.5
2025,3,Consulter les jeux de données les plus récents,68,34.2
2025,3,Télécharger des jeux de données que je n’avais pas,44,22.1
2025,3,Obtenir les plus récentes mises à jour des jeux de données que j’utilisais déjà (incluant par API),31,15.6
2025,3,Faire des demandes de jeux de données ou communiquer avec l’équipe du portail,7,3.5
2025,3,Découvrir les applications développées avec les données,9,4.5
2025,3,Lire les articles de la section Quoi de neuf?,0,0
2025,3,"En apprendre plus sur les données ouvertes (licence d’utilisation, normes de diffusion)",19,9.5
2025,3,Autre,21,10.6
2025,6,Développement d’applications et de solutions qui ont généré des revenus,3,2.4
2025,6,Développement d’applications et de solutions à d’autres fins,7,5.6
2025,6,Recherche étudiante,6,4.8
2025,6,Recherche scientifique professionnelle,13,10.5
2025,6,Utilisation journalistique,1,0.8
2025,6,Autre utilisation professionnelle,34,27.4
2025,6,Utilisation personnelle,18,14.5
2025,6,Je n’ai pas utilisé les données téléchargées,17,13.7
2025,6,Ne s'applique pas,21,16.9
2025,6,Autre,4,3.2
2025,11,Étudiant,8,6.5
2025,11,Journaliste,0,0
2025,11,Développeur d’applications,3,2.4
2025,11,Chercheur,11,8.9
2025,11,Entrepreneur ou employé dans une entreprise privée,16,12.9
2025,11,"Représentant d’une association, d’un organisme sans but lucratif ou d’une collectivité",8,6.5
2025,11,Employé d’un ministère ou d’un organisme du gouvernement du Québec,13,10.5
2025,11,Employé d’une municipalité,12,9.7
2025,11,Intérêt personnel,39,31.5
2025,11,Autre,14,11.3
